,A301_01,A301_02,A301_03,A301_04,A301_05,A301_06,A301_07,A301_08,A401
A301_01,1.0,0.49503561832742826,0.4512528644123303,0.04111147976029714,0.5073614294044251,0.5798373162749644,-0.07996885784339146,0.33190116873534775,0.058798056523808914
A301_02,0.49503561832742826,1.0,0.8484053674519654,-0.16978565545165136,0.44397178965934986,0.553026538051562,-0.1647528723320486,0.4932709621218979,-0.025451205279241093
A301_03,0.4512528644123303,0.8484053674519654,1.0,-0.1122553776029692,0.3895340605642876,0.5335505539421258,-0.23817116062298155,0.37051468965212647,-0.08298765135685705
A301_04,0.04111147976029714,-0.16978565545165136,-0.1122553776029692,1.0,0.20151055591634398,-0.046519390479397286,0.6009809275587357,-0.032325224494215564,-0.07387000809121028
A301_05,0.5073614294044251,0.44397178965934986,0.3895340605642876,0.20151055591634398,1.0,0.5262751470514543,0.1889500592486138,0.44892522311968347,-0.10030353364338464
A301_06,0.5798373162749644,0.553026538051562,0.5335505539421258,-0.046519390479397286,0.5262751470514543,1.0,-0.012921042595713273,0.5235202500998241,-0.09315369440337545
A301_07,-0.07996885784339146,-0.1647528723320486,-0.23817116062298155,0.6009809275587357,0.1889500592486138,-0.012921042595713273,1.0,0.06273219557727365,-0.30068380716017823
A301_08,0.33190116873534775,0.4932709621218979,0.37051468965212647,-0.032325224494215564,0.44892522311968347,0.5235202500998241,0.06273219557727365,1.0,0.07085500346949739
A401,0.058798056523808914,-0.025451205279241093,-0.08298765135685705,-0.07387000809121028,-0.10030353364338464,-0.09315369440337545,-0.30068380716017823,0.07085500346949739,1.0
